Genome	IMG ID	Clade	narB PCR	% Genome Recovery	nirA	focA	narB	napA
RCC307	2623620283	Syn 5.3	n.d.	>99	1	1	1	1
BL107	2623620351	Syn 5.1	n.d.	>99	1	1	1	1
CC9311	2623620876	Syn 5.1	n.d.	>99	1	1	1	1
CC9605	2606217400	Syn 5.1	n.d.	>99	1	1	1	1
CC9616	2517093019	Syn 5.1	n.d.	>99	1	0	1	1
CC9902	2606217272	Syn 5.1	n.d.	>99	1	1	1	1
KORDI-100	2507262013	Syn 5.1	n.d.	>99	1	0	1	1
KORDI-49	2507262011	Syn 5.1	n.d.	>99	1	1	1	1
KORDI-52	2507262012	Syn 5.1	n.d.	>99	1	1	1	1
MIT9504	2681812951	Syn 5.1	n.d.	>99	1	1	1	1
MIT9508	2681812952	Syn 5.1	n.d.	>99	1	1	1	1
MIT9509	2681812953	Syn 5.1	n.d.	>99	1	1	1	1
RS9916	2623620281	Syn 5.1	n.d.	>99	1	1	1	1
RS9917	638341213	Syn 5.1	n.d.	>99	1	1	0	0
WH7803	2623620330	Syn 5.1	n.d.	>99	1	1	1	1
WH7805	2623620868	Syn 5.1	n.d.	>99	1	1	1	1
WH8016	2507262052	Syn 5.1	n.d.	>99	1	1	1	1
WH8020	2645727663	Syn 5.1	n.d.	>99	1	1	1	1
WH8102	2606217514	Syn 5.1	n.d.	>99	1	0	1	1
WH8103	2687453380	Syn 5.1	n.d.	>99	1	0	1	1
WH8109	2563366603	Syn 5.1	n.d.	>99	1	1	1	1
AG-679-C18	2716884671	Syn 5.1	n.d.	87.57	1	1	1	1
AG-670-B23	2716884610	Syn 5.1	n.d.	86.46	1	1	1	1
AG-673-D02	2716884257	Syn 5.1	n.d.	86.21	1	1	1	1
AG-670-A05	2716884608	Syn 5.1	n.d.	81.39	1	0	1	1
AG-679-B05	2716884670	Syn 5.1	n.d.	81.1	0	0	1	1
AG-673-F03	2716884618	Syn 5.1	n.d.	77.9	1	1	1	1
AG-670-F22	2716884613	Syn 5.1	n.d.	73.1	1	1	1	1
AG-679-D13	2716884624	Syn 5.1	n.d.	72.55	1	1	1	1
AG-673-A03	2716884615	Syn 5.1	n.d.	69.77	0	0	1	1
AG-676-E23	2716884621	Syn 5.1	n.d.	67.53	1	1	1	1
AG-676-C06	2716884620	Syn 5.1	n.d.	66.44	1	1	1	1
AG-679-A02	2716884668	Syn 5.1	n.d.	62.76	1	1	1	1
AG-683-B21	2716884674	Syn 5.1	n.d.	61.67	1	1	1	1
