FileID,High_Quality,Sequencing_Status,Include,Genome_Name,IMG_Genome_ID ,NCBI_Taxon_ID,Strain,StrainName,Ecotype,Type,Size_Mb,GCpct,Cell_radius,Pmax,Genome_size,Gene_count,Scaffold_count,Study_Name,Sequencing_Center,Sequencing_Method,Assembly_Method,Proportal_Ecotype
637000213,Yes,Finished,1,Prochlorococcus marinus marinus CCMP1375,637000213,167539,CCMP 1375,SS120,LLII_LLIII,Isolate,1.75108,36.44,0.35,5.26,1751080,1933,1,Prochlorococcus marinus marinus CCMP1375,CEA Genoscope,Sanger,Phrap,Low light adapted (LL)
640069321,Yes,Finished,1,Prochlorococcus marinus AS9601,640069321,146891,AS9601,AS9601,HLII,Isolate,1.669886,31.32,0.35,6.278,1669886,1988,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),,Celera Assembler,High light adapted (HL)
640069322,Yes,Finished,1,Prochlorococcus marinus MIT9301,640069322,167546,MIT 9301,MIT9301,HLII,Isolate,1.641879,31.34,0.35,6.278,1641879,1967,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Sanger,Celera Assembler,High light adapted (HL)
640069323,Yes,Finished,1,Prochlorococcus marinus MIT9303,640069323,59922,MIT9303,MIT9303,LLIV,Isolate,2.682675,50.01,0.45,11.95,2682675,3133,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Sanger,Celera Assembler,Low light adapted (LL)
640069324,Yes,Finished,1,Prochlorococcus marinus MIT9515,640069324,167542,MIT9515,MIT9515,HLI,Isolate,1.704176,30.79,0.35,6.37,1704176,1968,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Sanger,Celera Assembler,High light adapted (HL)
640069325,No,Finished,1,Prochlorococcus marinus NATL1A,640069325,167555,NATL1A,NATL1A,LLI,Isolate,1.864731,34.98,0.35,5.26,1864731,2251,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Sanger,Celera Assembler,Low light adapted (LL)
641228501,Yes,Finished,1,Prochlorococcus marinus MIT9211,641228501,93059,MIT9211,MIT9211,LLII_LLIII,Isolate,1.688963,38.01,0.35,5.26,1688963,1901,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),Sanger,Celera Assembler,Low light adapted (LL)
647533199,Yes,Permanent Draft,1,Prochlorococcus marinus MIT9202,647533199,93058,MIT9202,MIT9202,HLII,Isolate,1.691453,31.1,0.35,6.278,1691453,1930,1,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),,,High light adapted (HL)
2551306547,No,Permanent Draft,0,Prochlorococcus sp. W3,2551306547,569152,W3,W3,,SAG,0.339045,30.75,,,339045,592,197,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"Illumina GAIIx, 454",Newbler v. 2.3,
2551306550,No,Permanent Draft,0,Prochlorococcus sp. W11,2551306550,613202,W11,W11,,SAG,0.766829,30.62,,,766829,968,158,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"Illumina GAIIx, 454",Newbler v. 2.3,
2551306551,No,Permanent Draft,0,Prochlorococcus sp. W12,2551306551,613203,W12,W12,,SAG,0.423437,29.56,,,423437,754,232,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,454,Newbler v. 2.3,
2551306553,No,Permanent Draft,0,Prochlorococcus sp. W2,2551306553,1203261,W2,W2,,SAG,1.266767,30.48,,,1266767,1581,108,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"Illumina GAIIx, 454",Newbler v. 2.3,
2551306554,Yes,Permanent Draft,0,Prochlorococcus sp. W8,2551306554,613199,W8,W8,,SAG,0.841756,31.41,,,841756,979,58,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"Illumina GAIIx, 454",Newbler v. 2.3,
2551306555,No,Permanent Draft,0,Prochlorococcus sp. W5,2551306555,569154,W5,W5,,SAG,0.099467,29.76,,,99467,204,92,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,454,Newbler v. 2.3,
2551306556,No,Permanent Draft,0,Prochlorococcus sp. W9,2551306556,613200,W9,W9,,SAG,0.42015,30.66,,,420150,741,211,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,454,Newbler v. 2.3,
2551306558,No,Permanent Draft,0,Prochlorococcus sp. W10,2551306558,613201,W10,W10,,SAG,0.561998,30.76,,,561998,1051,349,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,454,Newbler v. 2.3,
2551306560,No,Permanent Draft,0,Prochlorococcus sp. W4,2551306560,569153,W4,W4,,SAG,0.765485,29.92,,,765485,1046,104,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"454 GS FLX Titanium, Illumina GAIIx",Newbler v. 2.3,
2551306659,No,Permanent Draft,0,Prochlorococcus sp. W6,2551306659,569155,W6,W6,,SAG,0.385093,31.26,,,385093,724,337,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,454,Newbler v. 2.3,
2551306661,No,Permanent Draft,0,Prochlorococcus sp. W7,2551306661,613198,W7,W7,,SAG,0.905221,30.66,,,905221,1135,109,Prochlorococcus sp. W2-W12 Sequencing,Massachusetts Institute of Technology,"454, Illumina GAIIx",Newbler v. 2.3,
2606217240,Yes,Finished,1,Prochlorococcus marinus NATL2A,637000212,59920,NATL2A,NATL2A,LLI,Isolate,1.842899,35.12,0.35,5.26,1842899,1985,1,Prochlorococcus sp. NATL2A,DOE Joint Genome Institute (JGI),Sanger,Phrap v. 4.24 SPS,Low light adapted (LL)
2606217259,Yes,Finished,1,Prochlorococcus marinus pastoris CCMP 1986,637000214,59919,CCMP 1986,MED4,HLI,Isolate,1.65799,30.8,0.35,6.37,1657990,2069,1,Prochlorococcus marinus pastoris CCMP1986,DOE Joint Genome Institute (JGI),Sanger,Phrap v. 4.24 SPS,High light adapted (HL)
2606217311,Yes,Permanent Draft,1,Prochlorococcus marinus SS35,2606217311,167553,SS35,SS35,LLII_LLIII,Isolate,1.751015,36.44,0.35,5.26,1751015,1942,9,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Illumina GAIIx,Newbler v. 2.6,Low light adapted (LL)
2606217312,Yes,Permanent Draft,1,Prochlorococcus marinus MIT9314,2606217312,167548,MIT 9314,MIT9314,HLII,Isolate,1.690556,31.18,0.35,6.278,1690556,1977,16,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Illumina GAIIx,Newbler v. 2.6,High light adapted (HL)
2606217313,Yes,Permanent Draft,1,Prochlorococcus marinus SS2,2606217313,167552,SS2,SS2,LLII_LLIII,Isolate,1.752772,36.44,0.35,5.26,1752772,1955,19,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,Illumina GAIIx,Newbler v. 2.6,Low light adapted (LL)
